student_id,previous_GPA,attendance_rate,avg_course_grade,avg_course_interest,avg_job_demand,avg_risk,n_courses,domain_cnt_AI,domain_cnt_Agriculture,domain_cnt_Cybersecurity,domain_cnt_Data Science,domain_cnt_Electrical,domain_cnt_Energy,domain_cnt_Ethics,domain_cnt_Finance,domain_cnt_Healthcare,domain_cnt_Law,domain_cnt_Management,domain_cnt_Mechanical,domain_cnt_Networking,domain_cnt_Software Engineering,domain_cnt_Tourism,chosen_specialization
S00001,0.722972972972973,0.8269230769230771,78.43666666666667,0.6910000000000001,0.6074626865671642,0.21433333333333332,28,2,3,1,2,0,5,2,1,5,1,2,0,1,4,1,Data Science
S00002,0.8445945945945946,0.9230769230769229,87.57272727272726,0.7418181818181818,0.516282225237449,0.10545454545454547,20,0,2,2,0,1,0,1,1,6,2,1,1,2,1,2,Data Science
S00003,0.429054054054054,0.5384615384615385,58.93571428571429,0.7789285714285714,0.5453091684434968,0.4367857142857143,25,2,1,1,2,0,4,0,2,1,1,3,2,3,2,4,Business Management
S00004,0.75,0.8076923076923076,83.52592592592592,0.7425925925925926,0.5693753454947484,0.1733333333333333,27,2,2,5,0,1,2,1,1,1,3,3,3,1,2,0,Nursing
S00005,0.75,1.0,81.37666666666668,0.7506666666666667,0.5796019900497512,0.186,28,2,3,1,5,0,1,1,2,2,4,3,0,3,2,1,Renewable Energy
S00006,0.760135135135135,0.9230769230769227,79.91304347826087,0.6873913043478261,0.5749513303049967,0.1882608695652174,23,0,1,1,1,0,2,1,2,3,2,2,1,3,4,0,Finance
S00007,0.8243243243243243,0.8461538461538463,86.47333333333333,0.7073333333333333,0.5840796019900497,0.13733333333333334,13,0,0,0,1,1,1,0,2,1,0,1,0,4,3,1,Computer Science
S00008,0.6081081081081081,0.8653846153846154,70.675,0.708125,0.5872201492537313,0.2921875,29,2,1,2,4,0,3,1,2,1,4,1,3,5,2,1,Nursing
S00009,0.5304054054054053,0.6730769230769231,63.585,0.8145,0.5813432835820895,0.3315,20,0,1,1,2,2,3,0,2,2,0,2,2,1,1,1,Nursing
S00010,0.5810810810810809,0.7307692307692308,67.655,0.73,0.612686567164179,0.321,20,1,0,1,0,3,3,0,1,4,2,2,0,2,0,1,Finance
S00011,1.0,0.3461538461538462,96.94814814814815,0.7962962962962963,0.6285240464344942,0.015925925925925927,24,0,1,1,3,2,4,1,1,2,2,1,0,5,4,0,Information Technology
S00012,0.777027027027027,0.4038461538461537,86.99090909090908,0.7122727272727273,0.4613297150610583,0.16363636363636364,22,1,2,1,1,3,4,0,3,0,0,2,1,1,0,3,Computer Science
S00013,0.5810810810810809,0.9230769230769228,66.60000000000001,0.6910526315789474,0.5129615082482325,0.3157894736842105,18,0,1,2,2,1,0,0,1,0,1,4,0,4,0,3,Information Technology
S00014,0.6722972972972973,0.5,73.52962962962962,0.6774074074074073,0.5356550580431177,0.2388888888888889,26,0,4,1,4,1,2,0,3,3,1,3,2,1,1,1,Renewable Energy
S00015,0.5405405405405406,0.8461538461538461,69.94285714285714,0.6980952380952381,0.5302061122956645,0.33190476190476187,20,1,0,0,1,1,1,1,4,1,1,4,1,1,3,1,Computer Science
S00016,0.5371621621621621,0.75,64.87391304347825,0.7821739130434782,0.5483452303698897,0.3647826086956522,22,1,4,1,1,1,2,0,2,2,2,0,0,4,2,1,Electrical Engineering
S00017,0.6689189189189189,0.5769230769230771,76.33999999999999,0.7506666666666667,0.6,0.2353333333333333,29,2,3,1,2,1,3,0,1,4,2,2,3,2,2,2,Nursing
S00018,1.0,0.8269230769230771,94.42222222222223,0.7385185185185186,0.5002763957987838,0.02259259259259259,25,0,4,1,2,2,2,2,0,2,2,2,1,2,1,4,Information Technology
S00019,0.3209459459459459,0.75,51.92380952380953,0.7861904761904762,0.6204690831556503,0.5014285714285714,20,3,1,1,1,3,2,1,0,2,1,1,2,2,1,0,Electrical Engineering
S00020,0.5506756756756757,0.8846153846153846,64.28888888888889,0.721111111111111,0.5660585959093422,0.34481481481481485,25,0,2,1,1,2,4,1,0,4,3,1,1,2,4,1,Medicine
S00021,0.527027027027027,0.6923076923076923,67.14444444444445,0.7611111111111111,0.5804311774461027,0.3416666666666667,32,2,3,1,4,1,4,2,2,1,3,2,1,3,6,1,Finance
S00022,0.7466216216216217,0.8846153846153846,82.5,0.7018518518518518,0.599778883360973,0.17222222222222225,25,1,2,2,3,0,3,0,0,5,3,2,1,1,2,2,Artificial Intelligence
S00023,0.4594594594594594,0.6538461538461537,57.4375,0.7445833333333334,0.5087064676616916,0.38166666666666665,23,1,3,1,0,1,3,1,2,1,2,2,1,3,1,2,Renewable Energy
S00024,0.5810810810810809,0.5769230769230771,66.13461538461539,0.7357692307692307,0.4707233065442021,0.3153846153846154,26,1,2,0,0,1,2,2,4,2,4,3,0,4,1,0,Law
