CGPA,Semester,Faculty,Failed_Subjects,Attendance_Percentage,Study_Hours,Assignment_Submission,Lecture_Participation,Lab_Participation,Academic_Guidance,LMS_Logins,LMS_Hours,Class_Attendance_Range,Online_Resources_Use,Group_Contribution,Motivation_Phase1,Stress_Phase1,Sleep_Hours_Phase1,Confidence_Phase1,Social_Phase1,Relaxation_Phase1,Workload_Phase1,Motivation_Phase2,Stress_Phase2,Sleep_Hours_Phase2,Confidence_Phase2,Social_Phase2,Relaxation_Phase2,Workload_Phase2,Motivation_Phase3,Stress_Phase3,Sleep_Hours_Phase3,Confidence_Phase3,Social_Phase3,Relaxation_Phase3,Workload_Phase3,Motivation_Phase4,Stress_Phase4,Sleep_Hours_Phase4,Confidence_Phase4,Social_Phase4,Relaxation_Phase4,Workload_Phase4,Age,Gender,Part_Time_Job,Travel_Time,Family_Support,Living_Arrangement,Considered_Dropout,Challenges,Enrollment_Status
4,8th Semester,Humanities & Sciences,0,7,0-5 hours,76-100%,3,5,Not at all,0-2 times,0-2 hours,76-100%,Often,4,1,1,8-9 hours,5,4,6-8 hours,1,3,2,8-9 hours,5,4,6-8 hours,2,3,3,8-9 hours,5,4,6-8 hours,3,4,3,6-7 hours,5,3,3-5 hours,3,24,Female,No,0-15 minutes,4,Hostel,No,"Lack of proper academic guidance, Lack of study resources, Poor time management",Studying
3.4,7th Semester,Computing,0,4,6-10 hours,76-100%,1,1,Rarely,3-5 times,0-2 hours,0-25%,Very Often,5,4,1,6-7 hours,4,5,6-8 hours,2,5,5,6-7 hours,3,4,3-5 hours,4,4,5,6-7 hours,3,4,3-5 hours,4,4,5,6-7 hours,3,4,6-8 hours,4,23,Female,Yes,61-90 minutes,4,With family,No,"Mental stress / burnout, Poor time management",Studying
2.3,8th Semester,Computing,1,7,0-5 hours,76-100%,3,3,"Yes, occasionally",6-8 times,3-5 hours,0-25%,Very Often,4,3,3,6-7 hours,4,3,6-8 hours,3,3,4,6-7 hours,3,3,3-5 hours,3,3,4,4-5 hours,3,3,3-5 hours,4,4,5,4-5 hours,3,3,3-5 hours,5,25,Female,Yes,More than 90 minutes,5,Shared apartment,Yes,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Poor time management, Difficulty understanding lectures",Studying
3.21,6th Semester,Computing,0,9,6-10 hours,76-100%,4,4,"Yes, occasionally",3-5 times,3-5 hours,76-100%,Often,4,3,3,4-5 hours,4,3,6-8 hours,3,3,3,4-5 hours,4,3,6-8 hours,3,4,3,4-5 hours,4,3,6-8 hours,4,4,4,0-3 hours,4,4,3-5 hours,4,25,Female,No,0-15 minutes,5,Hostel,No,"Mental stress / burnout, Poor time management",Studying
3.1,5th Semester,Engineering,4,8,6-10 hours,76-100%,3,5,"Yes, occasionally",3-5 times,3-5 hours,51-75%,Sometimes,4,3,3,6-7 hours,3,5,6-8 hours,5,3,4,6-7 hours,4,5,3-5 hours,5,4,5,6-7 hours,4,4,9-12 hours,4,4,5,6-7 hours,4,4,6-8 hours,4,25,Female,No,0-15 minutes,4,Hostel,No,Poor time management,Studying
3,1st Semester,Computing,0,0,0-5 hours,0-25%,1,1,"Yes, frequently",0-2 times,0-2 hours,0-25%,Rarely,1,1,1,0-3 hours,1,1,0-2 hours,1,1,1,0-3 hours,1,1,0-2 hours,1,1,1,0-3 hours,1,1,0-2 hours,1,1,1,0-3 hours,1,1,0-2 hours,1,12,Male,Yes,0-15 minutes,3,Hostel,No,Lack of study resources,Studying
2.66,2nd Semester,Humanities & Sciences,1,6,6-10 hours,51-75%,5,2,"Yes, occasionally",3-5 times,9-12 hours,51-75%,Often,5,3,1,8-9 hours,2,3,3-5 hours,3,3,2,8-9 hours,3,2,0-2 hours,5,3,2,4-5 hours,2,2,0-2 hours,5,3,3,4-5 hours,2,2,0-2 hours,5,22,Male,Yes,0-15 minutes,1,With family,No,"Difficulty choosing subjects, Lack of study resources",Dropped Out
3.5,8th Semester,Computing,1,4,6-10 hours,76-100%,2,3,Rarely,6-8 times,6-8 hours,26-50%,Very Often,5,5,1,8-9 hours,5,5,9-12 hours,4,5,2,8-9 hours,5,5,9-12 hours,3,5,2,8-9 hours,4,4,9-12 hours,3,5,3,8-9 hours,5,4,9-12 hours,4,24,Male,No,0-15 minutes,5,Alone,No,Difficulty understanding lectures,Studying
2.21,3rd Semester,Computing,3,3,0-5 hours,26-50%,4,2,"Yes, occasionally",3-5 times,3-5 hours,0-25%,Sometimes,2,2,2,6-7 hours,2,2,3-5 hours,2,2,2,4-5 hours,2,2,3-5 hours,2,2,3,8-9 hours,2,2,3-5 hours,2,2,2,4-5 hours,2,3,3-5 hours,3,23,Male,Yes,16-30 minutes,2,Hostel,Yes,"Difficulty choosing subjects, Financial problems",Studying
3.1,8th Semester,Computing,0,0,0-5 hours,0-25%,1,4,Rarely,3-5 times,9-12 hours,51-75%,Often,3,4,5,8-9 hours,4,4,6-8 hours,3,4,4,8-9 hours,5,5,9-12 hours,5,3,4,8-9 hours,1,3,9-12 hours,4,3,5,8-9 hours,2,4,9-12 hours,2,24,Male,Yes,0-15 minutes,3,Shared apartment,No,Lack of study resources,Studying
3.89,8th Semester,Computing,0,10,More than 20 hours,76-100%,5,5,"Yes, frequently",More than 12 times,9-12 hours,76-100%,Very Often,5,5,5,6-7 hours,5,4,9-12 hours,3,5,5,4-5 hours,5,2,0-2 hours,3,5,5,4-5 hours,5,3,3-5 hours,3,5,5,4-5 hours,5,1,0-2 hours,3,25,Male,Yes,16-30 minutes,5,Alone,No,Mental stress / burnout,Studying
3.1,3rd Semester,Computing,0,5,0-5 hours,76-100%,2,5,Not at all,3-5 times,0-2 hours,26-50%,Often,4,4,5,8-9 hours,5,4,6-8 hours,5,2,4,8-9 hours,5,5,6-8 hours,5,4,4,8-9 hours,5,5,9-12 hours,5,3,5,8-9 hours,5,4,6-8 hours,5,21,Male,No,0-15 minutes,5,Shared apartment,Yes,"Lack of proper academic guidance, Difficulty choosing subjects, Mental stress / burnout, Financial problems",Studying
